actual,predicted
3450,4449.769067797296
5995,4449.769067797296
2477,2942.702746363923
3950,3215.739130434932
2060,2680.094420601106
4950,4449.769067797296
4200,2942.702746363923
2795,2942.702746363923
2640,2942.702746363923
2285,2942.702746363923
5700,2942.702746363923
1700,2472.6810344830055
2900,2942.702746363923
4800,3215.739130434932
4000,2942.702746363923
4500,4449.769067797296
2788,3247.153846154037
3863,4449.769067797296
1750,2472.6810344830055
2349,2854.0854922285416
2689,2942.702746363923
3400,4449.769067797296
2700,2942.702746363923
2250,4449.769067797296
2300,4449.769067797296
2000,2942.702746363923
3100,2854.0854922285416
2600,2854.0854922285416
1825,2175.83536585386
3850,2942.702746363923
1850,2680.094420601106
4200,2472.6810344830055
1850,2472.6810344830055
3200,2680.094420601106
2250,2472.6810344830055
2290,2942.702746363923
2450,3247.153846154037
1795,1760.8000000001532
3900,3247.153846154037
2400,3247.153846154037
3850,2854.0854922285416
2295,2942.702746363923
2850,2472.6810344830055
3850,2942.702746363923
2950,2942.702746363923
2400,2854.0854922285416
4500,4449.769067797296
1950,2942.702746363923
3750,2942.702746363923
2050,2854.0854922285416
2700,2175.83536585386
3295,2854.0854922285416
1850,2942.702746363923
2025,2942.702746363923
4900,4449.769067797296
1300,2942.702746363923
1929,2705.2631578948894
1700,2472.6810344830055
2950,2942.702746363923
1675,2472.6810344830055
2375,2705.2631578948894
4495,4449.769067797296
4100,4449.769067797296
3400,2942.702746363923
1795,2854.0854922285416
1850,2472.6810344830055
2050,2680.094420601106
2450,2942.702746363923
6500,3247.153846154037
2750,2942.702746363923
3800,4449.769067797296
4500,2942.702746363923
2625,2175.83536585386
1999,2942.702746363923
14950,2942.702746363923
3495,2942.702746363923
2695,2942.702746363923
1850,2175.83536585386
6500,4449.769067797296
2650,2854.0854922285416
2490,2854.0854922285416
2500,2472.6810344830055
5200,4449.769067797296
3132,2942.702746363923
3800,4449.769067797296
5495,4449.769067797296
3450,3247.153846154037
3200,2680.094420601106
5600,4449.769067797296
4500,2472.6810344830055
1500,2942.702746363923
2095,2472.6810344830055
2519,2854.0854922285416
2295,2472.6810344830055
3395,2942.702746363923
2150,2680.094420601106
4195,2854.0854922285416
3600,2942.702746363923
2250,2705.2631578948894
3250,2942.702746363923
2750,2680.094420601106
2195,2854.0854922285416
2850,2854.0854922285416
2889,3247.153846154037
10500,3247.153846154037
2684,2175.83536585386
4400,2942.702746363923
3795,2942.702746363923
1895,2942.702746363923
2550,2942.702746363923
3000,2854.0854922285416
2300,2175.83536585386
1719,1760.8000000001532
3200,2854.0854922285416
3500,2942.702746363923
4157,2942.702746363923
2800,2680.094420601106
3395,2942.702746363923
2537,2472.6810344830055
2550,2942.702746363923
3715,3247.153846154037
4700,4449.769067797296
3829,4449.769067797296
2954,2705.2631578948894
3137,3247.153846154037
2000,1760.8000000001532
3400,4449.769067797296
1925,2854.0854922285416
4200,4449.769067797296
2258,2472.6810344830055
3780,4449.769067797296
1500,2175.83536585386
3450,2854.0854922285416
2495,2472.6810344830055
3000,2472.6810344830055
3237,2472.6810344830055
2675,3215.739130434932
2195,2854.0854922285416
1200,2942.702746363923
3280,2942.702746363923
1940,2680.094420601106
2600,2854.0854922285416
4200,4449.769067797296
2659,2680.094420601106
11500,4449.769067797296
2950,2942.702746363923
2600,2854.0854922285416
2250,2175.83536585386
1850,2472.6810344830055
1795,2942.702746363923
1650,2942.702746363923
3100,2680.094420601106
4575,2854.0854922285416
4350,2680.094420601106
3000,3247.153846154037
2400,2472.6810344830055
3250,4449.769067797296
1595,2942.702746363923
3484,2942.702746363923
2595,2942.702746363923
3650,2942.702746363923
2524,2942.702746363923
1965,2175.83536585386
5995,4449.769067797296
3500,4449.769067797296
2500,4449.769067797296
1415,2854.0854922285416
3700,2942.702746363923
1570,2854.0854922285416
4900,2854.0854922285416
2825,2854.0854922285416
2400,2705.2631578948894
2700,4449.769067797296
6500,4449.769067797296
3600,2854.0854922285416
9500,4449.769067797296
2000,4449.769067797296
2623,2854.0854922285416
1850,2942.702746363923
2700,2854.0854922285416
3121,3247.153846154037
2400,1760.8000000001532
3800,3247.153846154037
2915,3247.153846154037
1650,2680.094420601106
2900,2680.094420601106
2995,2942.702746363923
2500,2472.6810344830055
3225,2942.702746363923
3010,2942.702746363923
1850,2942.702746363923
4100,2942.702746363923
2900,2942.702746363923
3000,2680.094420601106
2200,2472.6810344830055
2450,2942.702746363923
2000,2942.702746363923
3600,2175.83536585386
3100,2942.702746363923
1950,2472.6810344830055
2600,2854.0854922285416
2989,2680.094420601106
1990,2175.83536585386
2800,2680.094420601106
3900,3215.739130434932
2850,2942.702746363923
1550,2854.0854922285416
1185,3247.153846154037
4500,4449.769067797296
3850,2854.0854922285416
1795,2942.702746363923
6595,3247.153846154037
5300,2854.0854922285416
2950,2942.702746363923
3200,2175.83536585386
3000,2854.0854922285416
4775,4449.769067797296
2650,2680.094420601106
2514,2942.702746363923
5499,4449.769067797296
3100,2942.702746363923
3900,2942.702746363923
2250,2175.83536585386
1700,2680.094420601106
3300,2942.702746363923
4200,2472.6810344830055
3415,3247.153846154037
2250,2680.094420601106
2425,2854.0854922285416
3500,2680.094420601106
6750,3247.153846154037
1675,2472.6810344830055
1990,2175.83536585386
2700,2942.702746363923
1400,2942.702746363923
2000,4449.769067797296
2208,2705.2631578948894
7850,4449.769067797296
2639,2854.0854922285416
2974,3247.153846154037
3200,2175.83536585386
6000,4449.769067797296
2895,2942.702746363923
2752,2942.702746363923
2145,2942.702746363923
7900,4449.769067797296
3500,2942.702746363923
5500,2942.702746363923
11500,4449.769067797296
2600,2680.094420601106
3326,3247.153846154037
3097,2854.0854922285416
3120,4449.769067797296
2400,2472.6810344830055
